품목명	제조·생산지	제조일자(유통기한)	수입중량(kg)	세슘	요오드	판정	파일
고형차	러시아연방	2022.07.31.	100	55	불검출	적합	./tables/001/20190816+기타국가+방사능+검출+현황-page-1-table-1.csv
능이/건조	중국	(2019.08.01.)	2,230	3	-	적합	./tables/001/20190816+기타국가+방사능+검출+현황-page-1-table-1.csv
능이버섯/건조	중국	2020.10.31.	429.0	13	-	적합	./tables/002/201900813+기타국가+방사능+검출+현황-page-1-table-1.csv
잼	스웨덴	2020.10.27.	806	1	불검출	적합	./tables/003/20190809+기타국가+방사능+검출+현황-page-1-table-1.csv
차가버섯/건조	러시아연방	(2019.6.13.)	3,520	18	불검출	적합	./tables/003/20190809+기타국가+방사능+검출+현황-page-1-table-1.csv
능이버섯/건조	중국	2022.01.25.	1,260	2	-	적합	./tables/003/20190809+기타국가+방사능+검출+현황-page-1-table-1.csv
능이버섯/신선	중국	"생산년도
(2019년)"	21	6	-	적합	./tables/003/20190809+기타국가+방사능+검출+현황-page-1-table-1.csv
능이/건조	중국	(2019.7.25.)	664.0	2	-	적합	./tables/004/20190806+기타국가+방사능+검출+현황-page-1-table-1.csv
능이/냉동	중국	(2019.7.7.)	14,418	4	-	적합	./tables/005/20190801_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.7.20.)	400	1	-	적합	./tables/005/20190801_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	"2019년 
생산"	348	3	-	적합	./tables/005/20190801_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2020.10.9.	428	12	불검출	적합	./tables/005/20190801_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2020.4.24.	428	3	불검출	적합	./tables/005/20190801_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.7.16.)	500	1	-	적합	./tables/005/20190730_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.7.10.)	5,520	3	-	적합	./tables/005/20190730_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.7.3.)	602.0	3	-	적합	./tables/006/20190725_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.6.20.)	14,440	1	-	적합	./tables/007/20190722_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.7.1.)	3,660	4	-	적합	./tables/008/20190717_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.6.12.)	14,372	1	-	적합	./tables/009/20190711_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.4.15.)	638	2	-	적합	./tables/009/20190711_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	벨기에	2020.11.5.	180	12	불검출	적합	./tables/009/20190711_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.7.1.)	1,160	2	-	적합	./tables/009/20190716_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	에스토니아	2022.5.17.	480	20	불검출	적합	./tables/009/20190716_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.6.30.)	400.0	1	-	적합	./tables/009/20190712_기타국가_방사능_검출_현황-page-1-table-1.csv
액상차	러시아	2022.2.1.	300.0	2	불검출	적합	./tables/011/20190709_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.6.2.)	14,439	2	-	적합	./tables/012/20190702_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.6.12.	200.0	44	불검출	적합	./tables/012/20190704_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.6.5.	200.0	31	불검출	적합	./tables/012/20190704_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.6.3.	100.0	37	불검출	적합	./tables/012/20190704_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	미국	2021.6.1.	150.0	2	불검출	적합	./tables/013/20190701_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스페인	2021.4.10.	1,479.7	7	불검출	적합	./tables/013/20190627_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.6.13.)	300	12	-	적합	./tables/013/20190627_기타국가_방사능_검출_현황-page-1-table-1.csv
"개암(헤즐너트)
/탈각/건조"	터키	(2019.6.8.)	5,000	2	불검출	적합	./tables/014/20190626_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.6.1.)	14,494	3	-	적합	./tables/014/20190626_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.6.2.)	484	4	-	적합	./tables/014/20190626_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.4.1.)	102.0	2	-	적합	./tables/014/20190621_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.5.25.)	1,280	3	-	적합	./tables/016/20190617_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.6.3.)	65	5	-	적합	./tables/016/20190614_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.5.10.)	13,985	2	-	적합	./tables/016/20190614_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2020.10.2.	870.4	18	-	적합	./tables/016/20190614_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.5.15.)	13,820	3	-	적합	./tables/017/20190612_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	핀란드	2022.1.31.	129.9	24	불검출	적합	./tables/017/20190611_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.5.1.)	14,236	2	-	적합	./tables/017/20190611_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	벨기에	2020.11.5.	180	11	불검출	적합	./tables/018/20190605_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.5.3.)	10,496	2	-	적합	./tables/018/20190605_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.5.5.)	13,422	2	-	적합	./tables/018/20190605_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.6.1.)	12,360	3	-	적합	./tables/018/20190610_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.6.1.)	65	3	-	적합	./tables/018/20190610_기타국가_방사능_검출_현황-page-1-table-1.csv
침출차	러시아연방	2021.4.21.	14.6	33	불검출	적합	./tables/019/20190531_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.5.1.)	1,250	5	-	적합	./tables/019/20190531_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.5.1.)	11,400	3	-	적합	./tables/019/20190604_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2020.8.21.	806.4	10	불검출	적합	./tables/020/20190529_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.5.10.)	5,320	2	-	적합	./tables/020/20190528_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.5.10.)	100	3	-	적합	./tables/020/20190528_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.3.1.)	13,940	2	-	적합	./tables/021/20190527_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.4.20.)	13,784	2	-	적합	./tables/021/20190527_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.3.1.)	14,120	1	-	적합	./tables/021/20190524_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	스위스	2020.2.1.	60	19	불검출	적합	./tables/021/20190524_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.5.1.)	11,400	2	-	적합	./tables/022/20190523_기타국가_방사능_검출_현황-page-1-table-1.csv
블루베리/냉동	미국	(2019.3.27.)	23,120	4	불검출	적합	./tables/022/20190522_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.4.20.)	307.5	1	-	적합	./tables/023/20190515_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2018.12.12.)	14,240	4	-	적합	./tables/023/20190515_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	오스트리아	2021.3.13.	900.0	18	불검출	적합	./tables/023/20190520_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	키르기스스탄	(2018년)	100	60	불검출	적합	./tables/024/20190514_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.4.13.)	1,245	1	-	적합	./tables/024/20190514_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.4.18.)	14,278	3	-	적합	./tables/024/20190514_기타국가_방사능_검출_현황-page-1-table-1.csv
차가버섯/건조	러시아	(2019.4.1.)	198.0	40	불검출	적합	./tables/024/20190510_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.4.1.)	530.0	3	-	적합	./tables/025/20190509_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	미국	2020.8.3.	68.0	3	불검출	적합	./tables/026/20190503_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2020.5.6.	384.0	3	불검출	적합	./tables/026/20190503_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2020.1.7.	856.8	3	불검출	적합	./tables/026/20190508_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.4.11.)	18,267	2	-	적합	./tables/027/20190501_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.3.20.)	90.0	2	-	적합	./tables/028/20190424_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.3.28.)	600.0	2	-	적합	./tables/029/20190422_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	슬로바키아	2020.3.26.	6	2	불검출	적합	./tables/029/20190423_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	-	14,002	3	-	적합	./tables/029/20190423_기타국가_방사능_검출_현황-page-1-table-1.csv
그물버섯	이탈리아	(2019.3.28.)	114.15	3	불검출	적합	./tables/030/20190418_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.3.20.)	500.0	4	-	적합	./tables/030/20190418_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.3.1.)	394	3	-	적합	./tables/031/20190415_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.3.1.)	12,678	2	-	적합	./tables/031/20190415_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중구	(2019.4.2.)	300	26	-	적합	./tables/031/20190415_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.3.6.)	10,526	3	-	적합	./tables/031/20190412_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.3.18.)	14,024	4	-	적합	./tables/031/20190412_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.3.1.)	270.0	4	-	적합	./tables/032/20190410_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.3.16.	100.0	43	불검출	적합	./tables/032/20190411_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	중국	2020.8.17.	300	2	불검출	적합	./tables/032/20190409_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.2.1.)	10,500	3	-	적합	./tables/032/20190409_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.3.12.	20	27	불검출	적합	./tables/032/20190409_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.3.8.)	13,128	4	-	적합	./tables/033/20190405_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	미국	2020.11.4.	2,250	2	불검출	적합	./tables/033/20190404_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2018.12.15.)	11,420	2	-	적합	./tables/034/20190402_기타국가_방사능_검출_현황-page-1-table-1.csv
천연향신료	독일	2021.6.1.	245.7	7	불검출	적합	./tables/034/20190403_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.3.15.)	2,520	2	-	적합	./tables/035/20190327_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2020.11.4.	625	54	불검출	적합	./tables/035/20190328_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.2.26.)	14,028	2	-	적합	./tables/035/20190328_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.2.15.)	6,500	1	-	적합	./tables/035/20190328_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2021.3.11.	3.5	1	불검출	적합	./tables/036/20190326_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.3.3.)	9,000	4	-	적합	./tables/036/20190326_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.2.25.)	100	1	-	적합	./tables/036/20190325_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.2.25.)	5,644	2	-	적합	./tables/036/20190325_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	벨기에	2020.12.31.	51.6	3	불검출	적합	./tables/037/20190322_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.2.23.)	10,000	1	-	적합	./tables/037/20190322_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.3.3.	100	19	불검출	적합	./tables/037/20190322_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.11.4.	625.0	60	불검출	적합	./tables/037/20190320_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	네덜란드	2019.12.12.	1,494	12	불검출	적합	./tables/038/20190315_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	2021.2.21.	50.0	3	-	적합	./tables/038/20190314_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	벨기에	2020.7.30.	1,260	38	불검출	적합	./tables/039/20190311_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.2.10.	100.0	73	불검출	적합	./tables/040/20190306_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	핀란드	2021.12.1.	20.0	66	불검출	적합	./tables/043/20190219_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.1.24.	300.0	71	불검출	적합	./tables/043/20190219_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	2021.7.4.	10,181	3	-	적합	./tables/044/20190211_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	미국	2020.11.1.	6.6	35	불검출	적합	./tables/044/20190214_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	2021.7.19.	1,170	2	-	적합	./tables/045/20190208_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	2021.5.19.	1,144	4	-	적합	./tables/045/20190208_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	키르기스스탄	(2018.12.1.)	3,740	10	불검출	적합	./tables/045/20190208_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.1.21.	50.0	67	불검출	적합	./tables/045/20190201_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2022.1.20.	50.0	65	불검출	적합	./tables/045/20190201_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	키르기스스탄	(2018.12.1.)	145.0	9	-	적합	./tables/045/20190201_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2019.1.3.)	12,000	3	-	적합	./tables/046/20190131_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2020.7.11.	10.0	30	불검출	적합	./tables/047/20190124_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2019.1.6.)	520.0	1	-	적합	./tables/047/20190124_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	2021.7.1.	1,170	1	-	적합	./tables/048/20190121_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아	2021.11.6.	300.0	53	불검출	적합	./tables/049/20190118_기타국가_방사능_검출_현황-page-1-table-1.csv
침출차	캐나다	2020.12.14.	108.8	7	불검출	적합	./tables/050/20190115_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	2022.6.19.	14,170	4	-	적합	./tables/050/20190115_기타국가_방사능_검출_현황-page-1-table-1.csv
천연향신료	이탈리아	2021.7.5.	10.8	5	-	적합	./tables/050/20190111_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2018.12.20.)	1,960	3	-	적합	./tables/051/20190104_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2018.12.10.)	11,120	2	-	적합	./tables/051/20190104_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2018.12.20.)	356.0	3	-	적합	./tables/051/20190108_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2018.12.26.)	400.0	22	-	적합	./tables/051/20190108_기타국가_방사능_검출_현황-page-1-table-1.csv
기타잼	이탈리아	2020.6.1.	48.0	7	불검출	적합	./tables/051/20190108_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2018.9.1.)	1,000	4	-	적합	./tables/052/20190103_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	핀란드	2021.8.1.	2.2	2	불검출	적합	./tables/052/20181231_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2020.3.2.	381.0	4	불검출	적합	./tables/053/20181226_기타국가_방사능_검출_현황-page-1-table-1.csv
빌베리추출물	스위스	2022.2.1.	20	2	불검출	적합	./tables/054/20181220_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	2021.11.11.	1,000	3	-	적합	./tables/054/20181220_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	러시아연방	2020.11.19.	100	265	-	부적합	./tables/054/20181220_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	(2018.11.1.)	13,496	2	-	적합	./tables/054/20181221_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	(2018.10.1.)	400	14	-	적합	./tables/054/20181221_기타국가_방사능_검출_현황-page-1-table-1.csv
액상차	러시아연방	2021.10.21.	150	9	불검출	적합	./tables/055/20181217_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	2020.11.10.	550	3	-	적합	./tables/055/20181217_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	2020.11.10.	10,560	2	-	적합	./tables/055/20181217_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/건조	중국	2021.6.2.	1,105	2	-	적합	./tables/055/20181219_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	2020.12.4.	7,182	1	-	적합	./tables/055/20181219_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2019.7.30.	384.0	2	불검출	적합	./tables/056/20181214_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	핀란드	2021.10.31.	60.5	26	불검출	적합	./tables/056/20181214_기타국가_방사능_검출_현황-page-1-table-1.csv
액상차	러시아연방	2021.11.4.	230.0	6	불검출	적합	./tables/056/20181214_기타국가_방사능_검출_현황-page-1-table-1.csv
능이/냉동	중국	2021.11.11.	13,500	1	-	적합	./tables/056/20181211+기타국가+방사능+검출+현황-page-1-table-1.csv
능이/냉동	중국	2020.11.10.	13,500	1	-	적합	./tables/056/20181211+기타국가+방사능+검출+현황-page-1-table-1.csv
그물버섯/건조	이탈리아	2020.11.15.	226	6	불검출	적합	./tables/056/20181211+기타국가+방사능+검출+현황-page-1-table-1.csv
